# x_m,y_m,w_tr_right_m,w_tr_left_m
8.9600,0.8600,0.7159,0.7159
9.0100,0.9100,0.7566,0.7566
9.0600,0.9100,0.7517,0.7517
9.1100,0.9100,0.7500,0.7500
9.1600,0.9600,0.8000,0.8000
9.2100,0.9600,0.7906,0.7906
9.2600,1.0100,0.8246,0.8246
9.3100,1.0600,0.8631,0.8631
9.3600,1.0600,0.8559,0.8559
9.4100,1.1100,0.9014,0.9014
9.4600,1.1600,0.9500,0.9500
9.5100,1.2100,1.0000,1.0000
9.5600,1.2100,0.9962,0.9962
9.6100,1.2600,1.0000,1.0000
9.6600,1.2600,0.9500,0.9500
9.6600,1.3100,0.9513,0.9513
9.6600,1.3600,0.9552,0.9552
9.6600,1.4100,0.9618,0.9618
9.6600,1.4600,0.9708,0.9708
9.6600,1.5100,0.9823,0.9823
9.6600,1.5600,0.9962,0.9962
9.6600,1.6100,1.0050,1.0050
9.6600,1.6600,1.0112,1.0112
9.6600,1.7100,1.0198,1.0198
9.6600,1.7600,1.0124,1.0124
9.6600,1.8100,0.9962,0.9962
9.6600,1.8600,0.9823,0.9823
9.6600,1.9100,0.9708,0.9708
9.6600,1.9600,0.9618,0.9618
9.6600,2.0100,0.9552,0.9552
9.6600,2.0600,0.9513,0.9513
9.6600,2.1100,0.9500,0.9500
9.6600,2.1600,0.9500,0.9500
9.6600,2.2100,0.9500,0.9500
9.6600,2.2600,0.9500,0.9500
9.6600,2.3100,0.9513,0.9513
9.7100,2.3600,1.0050,1.0050
9.7100,2.4100,1.0112,1.0112
9.7100,2.4600,1.0198,1.0198
9.6600,2.4600,0.9708,0.9708
9.6600,2.5100,0.9823,0.9823
9.6100,2.5600,0.9487,0.9487
9.6100,2.6100,0.9657,0.9657
9.5600,2.6600,0.9394,0.9394
9.5600,2.7100,0.9618,0.9618
9.5100,2.7600,0.9394,0.9394
9.5100,2.8100,0.9618,0.9618
9.5100,2.8600,0.9849,0.9849
9.4600,2.9100,0.9618,0.9618
9.4100,2.9600,0.9434,0.9434
9.3600,3.0100,0.9301,0.9301
9.3600,3.0600,0.9605,0.9605
9.3100,3.1100,0.9552,0.9552
9.3100,3.1600,0.9605,0.9605
9.2600,3.2100,0.9708,0.9708
9.2100,3.2600,0.9862,0.9862
9.2100,3.3100,0.9618,0.9618
9.1600,3.3600,0.9849,0.9849
9.1100,3.4100,1.0062,1.0062
9.0600,3.4600,1.0308,1.0308
9.0600,3.5100,1.0124,1.0124
9.0100,3.5600,1.0440,1.0440
8.9600,3.6100,1.0770,1.0770
8.9100,3.6600,1.1068,1.1068
8.8600,3.7100,1.1402,1.1402
8.8100,3.7600,1.1769,1.1769
8.7600,3.7600,1.2021,1.2021
8.7100,3.7600,1.1885,1.1885
8.6600,3.7600,1.1769,1.1769
8.6100,3.7600,1.1673,1.1673
8.5600,3.7600,1.1543,1.1543
8.5100,3.7600,1.1402,1.1402
8.4600,3.7600,1.1281,1.1281
8.4100,3.7600,1.1180,1.1180
8.3600,3.7100,1.0607,1.0607
8.3100,3.7100,1.0548,1.0548
8.2600,3.7100,1.0512,1.0512
8.2100,3.7100,1.0500,1.0500
8.1600,3.7100,1.0500,1.0500
8.1100,3.7100,1.0500,1.0500
8.0600,3.7100,1.0512,1.0512
8.0100,3.7100,1.0548,1.0548
7.9600,3.7100,1.0607,1.0607
7.9100,3.7100,1.0689,1.0689
7.8600,3.7100,1.0794,1.0794
7.8100,3.7100,1.0920,1.0920
7.7600,3.7100,1.1068,1.1068
7.7100,3.7100,1.1236,1.1236
7.6600,3.7100,1.1180,1.1180
7.6100,3.7100,1.1102,1.1102
7.5600,3.7100,1.1045,1.1045
7.5100,3.6600,1.1424,1.1424
7.4600,3.6600,1.1500,1.1500
7.4100,3.6600,1.1500,1.1500
7.3600,3.6600,1.1402,1.1402
7.3100,3.6600,1.1281,1.1281
7.2600,3.6600,1.1180,1.1180
7.2100,3.6600,1.1102,1.1102
7.1600,3.6600,1.1045,1.1045
7.1100,3.6600,1.1011,1.1011
7.0600,3.6600,1.1000,1.1000
7.0100,3.6100,1.1500,1.1500
6.9600,3.6100,1.1402,1.1402
6.9100,3.6100,1.1281,1.1281
6.8600,3.6100,1.1180,1.1180
6.8100,3.6100,1.1102,1.1102
6.7600,3.6100,1.1045,1.1045
6.7100,3.6100,1.1011,1.1011
6.6600,3.6100,1.0920,1.0920
6.6100,3.6600,1.0500,1.0500
6.5600,3.6600,1.0500,1.0500
6.5100,3.6600,1.0500,1.0500
6.4600,3.6600,1.0500,1.0500
6.4100,3.6600,1.0440,1.0440
6.3600,3.6100,1.0308,1.0308
6.3100,3.6100,1.0198,1.0198
6.2600,3.6100,1.0112,1.0112
6.2100,3.6100,1.0050,1.0050
6.1600,3.6100,1.0012,1.0012
6.1100,3.6100,1.0000,1.0000
6.0600,3.6100,0.9962,0.9962
6.0100,3.6100,0.9823,0.9823
5.9600,3.6100,0.9708,0.9708
5.9100,3.6100,0.9618,0.9618
5.8600,3.6100,0.9552,0.9552
5.8100,3.6100,0.9513,0.9513
5.7600,3.6100,0.9500,0.9500
5.7100,3.5600,0.9000,0.9000
5.6600,3.5600,0.9000,0.9000
